setup,rows,cols,conv,dpe_bw,workload,K,N,V,H,dpe_count,fmax_avg_mhz,fmax_seeds,clb,bram,wc,dsp,grid_w,grid_h,energy_pj,latency_ns,read_ns,core_row_ns,output_serialize_ns,reduction_ns,write_ns,first_output_ns,steady_ns,e_dpe_pj,e_crossbar_pj,e_adc_pj,e_acam_pj,e_mem_pj,e_fpga_pj,io_bottleneck
setup0,512,128,adc,16,fc_512_128,512,128,1,1,1,307.79,305.31;312.75;305.31,8,2,1,0,10,10,2595.46,1388.13,831.74,348.46,207.94,0.0,207.94,1388.13,831.74,2531.47,145.55,2385.92,0,6.39,57.6,read
setup0,512,128,adc,16,fc_2048_256,2048,256,4,2,8,250.5,232.67;280.33;238.50,34,5,8,0,26,26,20721.44,1681.44,1021.96,396.01,255.49,7.98,255.49,1681.44,1021.96,20518.1,1430.74,19087.36,0,22.87,180.47,read
setup1,512,128,adc,40,fc_512_128,512,128,1,1,1,394.19,399.91;399.91;382.76,10,4,1,0,10,10,2563.56,533.73,261.29,206.48,65.96,0.0,65.96,533.73,261.29,2499.57,113.65,2385.92,0,6.39,57.6,read
setup1,512,128,adc,40,fc_2048_256,2048,256,4,2,8,298.0,309.85;293.04;291.10,39,10,8,0,26,26,20493.4,667.37,345.64,227.77,87.25,6.71,87.25,667.37,345.64,20290.06,1202.7,19087.36,0,22.87,180.47,read
setup2,512,128,acam,40,fc_512_128,512,128,1,1,1,369.33,414.91;332.50;360.58,7,4,1,0,10,10,127.28,429.68,278.88,80.4,70.4,0.0,70.4,429.68,278.88,120.89,60.89,0,60.0,6.39,-0.0,read
setup2,512,128,acam,40,fc_2048_256,2048,256,4,2,8,298.0,309.85;293.04;291.10,39,10,8,0,26,26,1401.97,536.85,345.64,97.25,87.25,6.71,87.25,536.85,345.64,1198.63,603.76,0,594.87,22.87,180.47,read
setup3,1024,128,adc,16,fc_512_128,512,128,1,1,1,317.52,312.75;305.31;334.50,8,2,1,0,10,10,2732.09,1349.9,806.26,342.08,201.56,0.0,201.56,1349.9,806.26,2668.11,282.19,2385.92,0,6.39,57.6,read
setup3,1024,128,adc,16,fc_2048_256,2048,256,2,2,4,304.78,291.40;310.19;312.75,22,3,4,0,26,26,10879.43,2243.67,1679.9,350.51,209.99,3.28,209.99,2243.67,1679.9,10719.61,1175.93,9543.68,0,22.87,136.96,read
setup4,1024,128,adc,40,fc_512_128,512,128,1,1,1,372.11,354.55;395.95;365.84,10,4,1,0,10,10,2690.69,557.06,276.8,210.39,69.87,0.0,69.87,557.06,276.8,2626.71,240.79,2385.92,0,6.39,57.6,read
setup4,1024,128,adc,40,fc_2048_256,2048,256,2,2,4,334.13,340.34;328.82;333.22,20,6,4,0,26,26,10776.15,912.68,613.54,218.33,77.81,2.99,77.81,912.68,613.54,10616.33,1072.65,9543.68,0,22.87,136.96,read
setup5,1024,128,acam,40,fc_512_128,512,128,1,1,1,406.9,357.19;450.61;412.90,7,4,1,0,10,10,148.09,390.93,253.13,73.9,63.9,0.0,63.9,390.93,253.13,141.7,86.56,0,55.15,6.39,0.0,read
setup5,1024,128,acam,40,fc_2048_256,2048,256,2,2,4,334.13,340.34;328.82;333.22,20,6,4,0,26,26,850.09,782.16,613.54,87.81,77.81,2.99,77.81,782.16,613.54,690.27,421.63,0,268.64,22.87,136.96,read
