dsp_ratio,clb_ratio,config,workload,P,total_dpes,V,H,dpes_per_replica,clbs_need,clbs_avail,clb_util_pct,fmax_mhz,fmax_peak_mhz,utilization,grid_w,grid_h,clb_count,dsp_count,mem_count,wc_count,run_dir
0.2,0.0,512x128,fc_2048_256,1,13,4,2,8,60,8528,0.7,179.738,179.738,1.0,106,106,19,0,6,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d20_c0/fc_2048_256
0.2,0.2,512x128,fc_2048_256,6,52,4,2,8,210,6822,3.1,155.411,179.738,0.8647,106,106,121,0,36,48,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d20_c20/fc_2048_256
0.2,0.4,512x128,fc_2048_256,14,117,4,2,8,450,5116,8.8,171.842,179.738,0.9561,106,106,270,0,84,112,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d20_c40/fc_2048_256
0.2,0.6,512x128,fc_2048_256,21,169,4,2,8,660,3411,19.3,160.699,179.738,0.8941,106,106,407,0,126,168,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d20_c60/fc_2048_256
0.2,0.8,512x128,fc_2048_256,21,169,4,2,8,660,1705,38.7,160.699,179.738,0.8941,106,106,407,0,126,168,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d20_c80/fc_2048_256
0.4,0.0,512x128,fc_2048_256,4,39,4,2,8,150,8528,1.8,183.125,183.125,1.0,106,106,84,0,24,32,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d40_c0/fc_2048_256
0.4,0.2,512x128,fc_2048_256,9,78,4,2,8,300,6822,4.4,151.573,183.125,0.8277,106,106,184,0,54,72,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d40_c20/fc_2048_256
0.4,0.4,512x128,fc_2048_256,17,143,4,2,8,540,5116,10.6,156.214,183.125,0.853,106,106,340,0,102,136,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d40_c40/fc_2048_256
0.4,0.6,512x128,fc_2048_256,24,195,4,2,8,750,3411,22.0,150.634,183.125,0.8226,106,106,463,0,144,192,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d40_c60/fc_2048_256
0.4,0.8,512x128,fc_2048_256,24,195,4,2,8,750,1705,44.0,150.634,183.125,0.8226,106,106,463,0,144,192,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d40_c80/fc_2048_256
0.6,0.0,512x128,fc_2048_256,6,52,4,2,8,210,8528,2.5,171.512,171.512,1.0,106,106,121,0,36,48,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d60_c0/fc_2048_256
0.6,0.2,512x128,fc_2048_256,11,91,4,2,8,360,6822,5.3,163.841,171.512,0.9553,106,106,217,0,66,88,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d60_c20/fc_2048_256
0.6,0.4,512x128,fc_2048_256,17,143,4,2,8,540,5116,10.6,168.274,171.512,0.9811,106,106,340,0,102,136,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d60_c40/fc_2048_256
0.6,0.6,512x128,fc_2048_256,26,208,4,2,8,810,3411,23.7,160.753,171.512,0.9373,106,106,514,0,156,208,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d60_c60/fc_2048_256
0.6,0.8,512x128,fc_2048_256,26,208,4,2,8,810,1705,47.5,160.753,171.512,0.9373,106,106,514,0,156,208,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d60_c80/fc_2048_256
0.8,0.0,512x128,fc_2048_256,9,78,4,2,8,300,8528,3.5,144.19,144.19,1.0,106,106,184,0,54,72,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d80_c0/fc_2048_256
0.8,0.2,512x128,fc_2048_256,14,117,4,2,8,450,6822,6.6,172.353,144.19,1.1953,106,106,270,0,84,112,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d80_c20/fc_2048_256
0.8,0.4,512x128,fc_2048_256,21,169,4,2,8,660,5116,12.9,146.06,144.19,1.013,106,106,407,0,126,168,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d80_c40/fc_2048_256
0.8,0.6,512x128,fc_2048_256,29,234,4,2,8,900,3411,26.4,136.561,144.19,0.9471,106,106,596,0,174,232,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d80_c60/fc_2048_256
0.8,0.8,512x128,fc_2048_256,29,234,4,2,8,900,1705,52.8,136.561,144.19,0.9471,106,106,596,0,174,232,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d80_c80/fc_2048_256
1.0,0.0,512x128,fc_2048_256,11,91,4,2,8,360,8528,4.2,162.407,162.407,1.0,106,106,217,0,66,88,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d100_c0/fc_2048_256
1.0,0.2,512x128,fc_2048_256,16,130,4,2,8,510,6822,7.5,167.359,162.407,1.0305,106,106,316,0,96,128,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d100_c20/fc_2048_256
1.0,0.4,512x128,fc_2048_256,22,182,4,2,8,690,5116,13.5,125.436,162.407,0.7724,106,106,439,0,132,176,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d100_c40/fc_2048_256
1.0,0.6,512x128,fc_2048_256,30,247,4,2,8,930,3411,27.3,120.659,162.407,0.7429,106,106,585,0,180,240,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d100_c60/fc_2048_256
1.0,0.8,512x128,fc_2048_256,30,247,4,2,8,930,1705,54.5,120.659,162.407,0.7429,106,106,585,0,180,240,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_proto/d100_c80/fc_2048_256
