tg,budget_pct,flexscore,n_benchmarks,min_ratio,max_ratio,clb_remaining,dsp_remaining,bram_remaining
tw2,0,1.0,4,1.0,1.0,2908,56,116
tw2,10,0.9943182473071186,4,0.9588313246376994,1.018487611139836,2617,56,116
tw2,20,0.9812172273494575,4,0.9652428721151585,1.0111703772418057,2326,42,87
tw2,30,0.9746091832053245,4,0.9650131289475551,0.9876532969089002,2035,42,87
tw2,35,0.7289779449228484,4,0.0,1.0173956161646325,1890,42,87
tw2,40,0.23436438010669822,4,0.0,0.9374575204267929,1744,28,58
tw2,50,0.23436438010669822,4,0.0,0.9374575204267929,1454,28,58
tw3,0,1.0,4,1.0,1.0,2908,56,116
tw3,10,0.9985100786484652,4,0.9804309894716884,1.0242473174769073,2617,56,116
tw3,20,1.0075402486137668,4,0.9836327729340898,1.0354944138609246,2326,42,87
tw3,30,0.970605144277253,4,0.9405965814045439,1.0170232611296364,2035,42,87
tw3,35,0.9582791703019109,4,0.919555974745436,0.9849421427501978,1890,42,87
tw3,40,0.2446159428321667,4,0.0,0.9784637713286668,1744,28,58
tw3,50,0.2298884708608427,4,0.0,0.9195538834433707,1454,28,58
tw4,0,1.0,4,1.0,1.0,2908,56,116
tw4,10,1.0,4,1.0,1.0,2617,56,116
tw4,20,0.9927837830264243,4,0.952235357922863,1.0149962742175858,2326,42,87
tw4,30,1.008562988446414,4,0.9895869624124182,1.04091327290976,2035,42,87
tw4,35,0.9887936100220586,4,0.9478548871113274,1.042470594090615,1890,42,87
tw4,40,0.46866643489528526,4,0.0,0.9498150243322994,1744,28,58
tw4,50,0.4727036838286621,4,0.0,0.9463713469309792,1454,28,58
tw7,0,1.0,4,1.0,1.0,2908,56,116
tw7,10,1.0,4,1.0,1.0,2617,56,116
tw7,20,0.9994638950412807,4,0.9852698560165751,1.027994692660969,2326,42,87
tw7,30,0.9994638950412807,4,0.9852698560165751,1.027994692660969,2035,42,87
tw7,35,0.9753749453729347,4,0.9651107089631679,0.9880760927227568,1890,42,87
tw7,40,0.46654516692935954,4,0.0,0.939395460340896,1744,28,58
tw7,50,0.4953391901251727,4,0.0,1.0069765836907716,1454,28,58
